INDEX,NOMBRE_DEL_PERIODICO,LINK_DEL_PERIODICO,ESTADO,EDICION_IMPRESA,ENCODING,SELECTOR,COMENTARIO,ACTIVO
1,EL MEXICANO,http://www.el-mexicano.com.mx/inicio.htm/,BAJA CALIFORNIA,1,utf-8,.post__content,NA,1
2,FRONTERA.INFO,http://www.frontera.info/,BAJA CALIFORNIA,1,utf-8,p,NA,1
3,EL SOL DE TIJUANA,https://www.elsoldetijuana.com.mx/,BAJA CALIFORNIA,1,utf-8,p,NA,1
4,LA VOZ DE LA FRONTERA,https://www.lavozdelafrontera.com.mx/,BAJA CALIFORNIA,1,utf-8,p,NA,1
5,MONITOR ECONOMICO,http://monitoreconomico.org/noticias/,BAJA CALIFORNIA,0,utf-8,.text-justify,NA,1
6,EL VIGIA NET,http://www.elvigia.net/,BAJA CALIFORNIA,1,utf-8,#cuerpo-nota,NA,1
7,ENLACE INFORMATIVO,http://www.enlaceinformativo.net/,BAJA CALIFORNIA,0,utf-8,.entry-content,NA,1
8,AGENCIA FRONTERIZA DE NOTICIAS,http://www.afntijuana.info/,BAJA CALIFORNIA,0,utf-8,#nota-texto,NA,1
9,MONITOR BC,http://www.monitorbc.info/,BAJA CALIFORNIA,0,utf-8,#bloIz,NA,1
10,TIJUANA PRESS,https://tijuanapress.com/,BAJA CALIFORNIA,0,utf-8,p,NA,1
11,ZETA,http://zetatijuana.com/,BAJA CALIFORNIA,1,utf-8,.nota,NA,1
12,EL SUDCALIFORNIANO,https://www.elsudcaliforniano.com.mx/,BAJA CALIFORNIA SUR,1,utf-8,p,NA,1
13,DIARIO EL INDEPENDIENTE,http://diarioelindependiente.mx/,BAJA CALIFORNIA SUR,1,utf-8,.marginTop10,NO SE PUEDE COPIAR,1
14,TRIBUNA DE LOS CABOS,http://www.tribunadeloscabos.com.mx/,BAJA CALIFORNIA SUR,1,utf-8,.selectionShareable,NA,1
15,BCS NOTICIAS,http://www.bcsnoticias.mx/,BAJA CALIFORNIA SUR,0,utf-8,p,NA,1
16,EL PENINSULAR,http://peninsulardigital.com/,BAJA CALIFORNIA SUR,1,utf-8,.entry-content,NA,1
17,MILED BAJA CALIFORNIA SUR,http://miledbcs.com.mx/bcs/,BAJA CALIFORNIA SUR,1,utf-8,.post-content-wrap,SIN RESULTADOS,1
18,TRIBUNA,http://tribunacampeche.com/,CAMPECHE,1,utf-8,p,NA,1
19,NOVEDADES CAMPECHE,https://www.novedadescampeche.com.mx/,CAMPECHE,1,utf-8,p,NA,1
20,EL SUR DE CAMPECHE,http://www.elsur.mx/,CAMPECHE,0,utf-8,p,NA,1
21,CR?NICA DE CAMPECHE,http://www.cronicacampeche.com/,CAMPECHE,1,utf-8,p,NA,1
22,EXPRESO DE CAMPECHE,http://expresocampeche.com/,CAMPECHE,1,utf-8,#single-note-content,NA,1
23,CAMPECHE HOY,http://campechehoy.mx/,CAMPECHE,1,utf-8,p,NA,1
24,PUNTO MEDIO,https://www.puntomedio.mx/,CAMPECHE,1,cp1252,.post-entry,NA,1
25,EL INFORMADOR,http://www.informador.com.mx/,JALISCO,1,utf-8,p,NA,1
26,EL MURAL,http://www.mural.com/,JALISCO,1,utf-8,p,NA,1
27,EL OCCIDENTAL,https://www.eloccidental.com.mx/,JALISCO,1,utf-8,p,NA,1
28,CRONICA JALISCO,http://www.cronicajalisco.com/noticias.php/,JALISCO,1,utf-8,p,NA,1
29,PAGINA 24 JALISCO,http://pagina24jalisco.com.mx/,JALISCO,1,utf-8,p,NA,1
30,EL DIARIO NTR,http://www.ntrguadalajara.com/,JALISCO,1,utf-8,.cuerpoImg,NA,1
31,VALLARTA OPINA,http://vallartaopina.net/,JALISCO,1,utf-8,p,NA,1
32,SIEMPRE LIBRES,http://www.siemprelibres.com/,JALISCO,1,utf-8,.info,SIN RESULTADOS,1
33,TRIBUNA DE LA BAHIA,http://www.tribunadelabahia.com.mx/,JALISCO,1,utf-8,.selectionShareable,NA,1
34,EL FARO,http://www.elfaromx.com/,JALISCO,0,utf-8,#TPAMultiSection_jtj0qre2iframe,SIN RESULTADOS,1
35,NOTIARANDAS,http://www.notiarandas.com/,JALISCO,1,utf-8,p,NA,1
36,EL SUR,http://www.periodicoelsur.com/,JALISCO,1,cp1252,#ContenidoLabel,NA,1
37,ANTENA NOTICIAS,http://www.antenanoticias.com.mx/,JALISCO,0,utf-8,.entry-content,NA,1
38,LA VOZ DEL NORTE,http://www.vozdelnorte.com/,JALISCO,1,utf-8,.itemFullText,NA,1
39,MILDED JALISCO,http://miledjalisco.com.mx/jalisco/,JALISCO,1,utf-8,#main-content,SIN RESULTADOS,1
40,REFORMA,http://www.reforma.com/,NACIONAL,1,utf-8,p,NA,1
41,LA PRENSA,https://www.la-prensa.com.mx/,NACIONAL,1,utf-8,p,NA,1
42,EL UNIVERSAL,http://www.eluniversal.com.mx/,NACIONAL,1,utf-8,p,"XML field ""field field-name-body field-type-text-with-summary field-label-hidden""",1
43,EL GRAFICO,http://www.elgrafico.mx/,NACIONAL,0,utf-8,p,NA,1
44,CAPITAL MEXICO,http://www.capitalmexico.com.mx/,NACIONAL,1,utf-8,p,NA,1
45,LA JORNADA,http://www.jornada.unam.mx/ultimas/,NACIONAL,1,utf-8,#content_nitf,NA,1
46,MILENIO,http://www.milenio.com/,NACIONAL,1,utf-8,p,NA,1
47,CRONICA,http://www.cronica.com.mx/noticias.php/,NACIONAL,1,utf-8,.cambiodeltexto,NA,1
48,LA RAZON,http://www.razon.com.mx/,NACIONAL,1,utf-8,p,NA,1
49,IMPACTO,http://impacto.mx/,NACIONAL,1,utf-8,p,NA,1
50,EL SOL DE MEXICO,https://www.elsoldemexico.com.mx/,NACIONAL,1,utf-8,p,NA,1
51,DINERO EN IMAGEN,http://www.dineroenimagen.com/,NACIONAL,1,utf-8,#node-body,NA,1
52,EXCELSIOR,http://www.excelsior.com.mx/,NACIONAL,1,utf-8,#node-article-body,NA,1
53,DIARIO DE MEXICO,https://www.diariodemexico.com/index.php/,NACIONAL,1,utf-8,p,NA,1
54,DIARIO BASTA,http://www.diariobasta.com/,NACIONAL,1,utf-8,p,SIN RESULTADOS,1
55,EL PUNTO CRITICO,http://www.elpuntocritico.com/,NACIONAL,1,utf-8,.itemBody,NA,1
56,PERIODICO EL DIA,http://periodicoeldia.mx/,NACIONAL,1,utf-8,.td-post-text-content,NA,1
57,MILED MEXICO,http://miled.com/,NACIONAL,1,utf-8,#main-content,SIN RESULTADOS,1
58,MAS POR MAS,https://www.maspormas.com/,NACIONAL,1,utf-8,p,NA,1
59,PUBLIMETRO,https://www.publimetro.com.mx/mx/,NACIONAL,1,utf-8,p,NA,1
60,24 HORAS,http://www.24-horas.mx/,NACIONAL,1,utf-8,p,NA,1
61,RECORD,http://www.record.com.mx/,NACIONAL,1,utf-8,p,NA,1
62,ESTO,http://www.esto.com.mx/,NACIONAL,1,utf-8,p,NA,1
63,OVACIONES,http://ovaciones.com/,NACIONAL,1,utf-8,p,NA,1
64,ESTADIO,http://www.estadiodeportes.mx/,NACIONAL,0,utf-8,p,LOS RESULTADOS NO TIENEN QUE VER CON LOS TEMAS,1
