word,category
abandonado,negative
abandonar,negative
abandono,negative
abastecer,positive
abedul,negative
aberración,negative
aberrante,negative
abismal,negative
abismo,negative
Abogacía,positive
abogado,positive
abolición,negative
abolir,negative
abollado,negative
abominable,negative
abominación,negative
aborrecer,negative
aborrecible,negative
abortar,negative
abortivo,negative
aborto,negative
abrasador,negative
abrasión,negative
abrazo,positive
abrigo,positive
abrogar,negative
abrumado,negative
abrumador,negative
abrumar,negative
absceso,negative
absentismo,negative
absolución,positive
absoluto,positive
absorbido,positive
absurdo,negative
abucheo,negative
abuela,positive
abundancia,positive
abundante,positive
aburrido,negative
aburrimiento,negative
abuso,negative
abyecto,negative
academia,positive
académico,positive
ácaro,negative
accesible,positive
accesorio,positive
accidental,negative
accidente,negative
acción,positive
acecho,negative
acelerador,negative
aceptable,positive
aceptación,positive
aceptando,positive
acidez,negative
ácido,negative
aclarar,positive
acogedor,positive
acompañamiento,positive
aconsejable,positive
acontecer,negative
acosar,negative
acoso,negative
acostado,negative
acre,negative
acreditado,positive
acribillado,negative
acróbata,positive
acuerdo,positive
acuoso,negative
acusación,negative
acusado,negative
acusador,negative
acusando,negative
acusativo,negative
adaptable,positive
adaptar,positive
adecuado,positive
adelante,positive
adelanto,positive
adepto,positive
adiccion,negative
adiposo,negative
adjunto,positive
admirable,positive
admiración,positive
admirador,positive
admirar,positive
admisible,positive
adoctrinamiento,negative
adolescentes,positive
adorable,positive
adoración,positive
adorar,positive
adornado,positive
adornar,negative
adornos,negative
adquirir,positive
adquisidor,positive
adular,negative
adulterio,negative
adversario,negative
adversidad,negative
adverso,negative
advertir,negative
adviento,positive
afable,positive
afán,positive
afectada,negative
afecto,positive
áfido,negative
afirmación,positive
afirmando,positive
afirmar,positive
afirmativamente,positive
afirmativo,positive
aflicción,negative
afligido,negative
afligir,negative
afligirse,negative
afluencia,positive
afluente,positive
afortunado,positive
afrenta,negative
agachándose,negative
agarrar,negative
ágil,positive
agilidad,positive
agitación,negative
agitado,negative
agonía,negative
agonizante,negative
agosto,positive
agotado,negative
agotador,negative
agotamiento,negative
agraciado,positive
agradable,positive
agradecido,positive
agravación,negative
agravado,negative
agravante,negative
agravio,negative
agresión,negative
agresivo,negative
agresor,negative
agricultura,positive
agrietado,negative
agrietamiento,negative
agrimensura,positive
agrio,negative
aguanieve,negative
aguante,positive
agudeza,positive
agudísimo,negative
aguja,positive
ahogar,negative
ahogo,negative
ahorro,positive
ahorros,positive
airado,negative
aires,negative
aislado,negative
aislamiento,negative
alabado,positive
alabanza,positive
alabastro,positive
alarde,positive
alarma,negative
alarmante,negative
alboroto,negative
alcalde,positive
alcantarillado,negative
alcanzable,positive
alcohólica,negative
alcoholismo,negative
aldeano,positive
alegación,negative
alegar,negative
alegrarse,positive
alegre,positive
alegría,positive
alegro,positive
alejado,negative
alentar,positive
alerón,negative
alfombrilla,negative
algarabía,negative
alguacil,negative
aliado,positive
alienación,negative
alienado,negative
alimañas,negative
alimento,positive
aliviar,positive
alivio,positive
alma,positive
almacenar,positive
almirante,positive
almohada,positive
almohadilla,positive
aloha,positive
alojamiento,positive
alquiler,positive
alquitranado,negative
alta,positive
altercado,negative
altruista,positive
alucinación,negative
amabilidad,positive
amable,positive
amanecer,positive
amanerado,positive
amante,positive
amargamente,negative
amargura,negative
amarillos,negative
ambición,positive
ambicioso,positive
ambiguo,negative
Amén,positive
amenaza,negative
amenazador,negative
amenazante,negative
amenazar,negative
amenidad,positive
amigo,positive
amistad,positive
amistoso,positive
amnesia,negative
amnistía,positive
amonestación,negative
amor,positive
amoroso,positive
ampliar,positive
ampolla,negative
amueblar,positive
anaconda,negative
anal,negative
analfabeto,negative
analista,positive
anarquía,negative
anarquismo,negative
anarquista,negative
anatema,negative
ancianos,positive
ancla,positive
anclaje,positive
andamio,negative
anfetaminas,negative
ángel,positive
angelical,positive
angina,negative
angustia,negative
angustioso,negative
anhelo,positive
animado,positive
animar,positive
ánimo,positive
animosidad,negative
aniquilación,negative
aniquilado,negative
aniquilar,negative
aniversario,positive
anomalía,negative
anónimo,negative
anormal,negative
ansiedad,negative
ansioso,negative
antagonismo,negative
antagonista,negative
antecristo,negative
antepasados,positive
antibióticos,positive
anticuado,negative
antídoto,positive
antieconómico,negative
antigüedad,positive
antiguo,positive
antimicótico,positive
antinatural,negative
antipatía,negative
antipático,negative
antiséptico,positive
antisocial,negative
ántrax,negative
anudado,negative
anulación,negative
anular,negative
apache,negative
apagador,negative
apalancamiento,positive
aparentemente,negative
apasionado,positive
apatía,negative
apático,negative
apenas,negative
apendicitis,negative
aplastada,negative
aplastante,negative
aplastar,negative
aplaudir,positive
aplausos,positive
aplazamiento,negative
aplomo,positive
apogeo,positive
apologético,positive
apóstol,positive
apreciación,positive
apreciar,positive
aprender,positive
aprendizaje,positive
aprensivo,negative
apresador,negative
apresurado,negative
aprobación,positive
aprobado,positive
aprobar,positive
aprobatorio,positive
apropiación,negative
apropiado,positive
aptitud,positive
apto,positive
apuesto,positive
apuntalar,positive
arancel,negative
árbitro,positive
árbol,positive
arcaico,negative
archivado,negative
arduo,negative
arena,positive
argumento,negative
árido,negative
aristocracia,positive
aristocrático,positive
armadura,positive
armamento,negative
armas,negative
armonía,positive
armoniosamente,positive
aroma,positive
arqueología,positive
arrastrarse,negative
arrepentido,negative
arrepentirse,positive
arrestar,negative
arriesgado,negative
arrogancia,negative
arrogante,negative
arruinado,negative
arsénico,negative
art,positive
arte,positive
artesano,positive
articulación,positive
articular,positive
artillería,negative
artístico,positive
as,positive
asalto,negative
asar,negative
ascendencia,positive
ascenso,positive
asco,negative
asegurar,positive
asentir,positive
asequible,positive
asesinar,negative
asesinato,negative
asesino,negative
asesor,positive
asesorar,positive
asfixia,negative
asilo,negative
asistencia,positive
asistente,positive
asociación,positive
asociado,positive
asociar,positive
asombro,positive
aspereza,negative
aspiración,positive
aspirar,positive
asqueroso,negative
astilla,negative
astringente,negative
astrólogo,positive
astronauta,positive
astrónomo,positive
astuto,positive
asustado,negative
asustar,negative
atacar,negative
ataque,negative
atar,negative
